,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,TAX,PTRATIO,B,LSTAT,RAD_1.0,RAD_2.0,RAD_3.0,RAD_4.0,RAD_5.0,RAD_6.0,RAD_7.0,RAD_8.0,RAD_24.0,Label
0,0.00632,18.0,2.31,0.0,0.538,6.575,65.2,4.09,296.0,15.300000000000002,396.9,4.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1,0.02731,0.0,7.070000000000001,0.0,0.469,6.421,78.9,4.9671,242.0,17.8,396.9,9.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2,0.027290000000000002,0.0,7.070000000000001,0.0,0.469,7.185,61.10000000000001,4.9671,242.0,17.8,392.83,4.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3,0.03237,0.0,2.18,0.0,0.458,6.998000000000001,45.8,6.0622,222.0,18.7,394.63,2.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4,0.06905,0.0,2.18,0.0,0.458,7.147,54.2,6.0622,222.0,18.7,396.9,5.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5,0.029849999999999998,0.0,2.18,0.0,0.458,6.43,58.7,6.0622,222.0,18.7,394.12,5.21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6,0.08829,12.5,7.87,0.0,0.524,6.012,66.6,5.560500000000001,311.0,15.2,395.6,12.430000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
7,0.14455,12.5,7.87,0.0,0.524,6.172,96.1,5.950499999999999,311.0,15.2,396.9,19.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
8,0.21124,12.5,7.87,0.0,0.524,5.631000000000001,100.0,6.0821000000000005,311.0,15.2,386.63,29.93,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
9,0.17004,12.5,7.87,0.0,0.524,6.004,85.9,6.5921,311.0,15.2,386.71,17.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
10,0.22489,12.5,7.87,0.0,0.524,6.377,94.3,6.346700000000001,311.0,15.2,392.52,20.450000000000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
11,0.11747,12.5,7.87,0.0,0.524,6.009,82.9,6.2267,311.0,15.2,396.9,13.27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
